epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2396.53,0.88246,0.72902,0.95003,0.58505,0.31874,0.33456,0.25344,1.07385,1.99473,1.03447,5.40995e-05,5.40995e-05,5.40995e-05
91,2440.65,0.81782,0.65077,0.89913,0.56788,0.31423,0.33123,0.25134,1.07897,2.03691,1.03634,4.9595e-05,4.9595e-05,4.9595e-05
92,2465.99,0.81909,0.61637,0.89728,0.56675,0.3163,0.33225,0.25218,1.08099,2.04033,1.03602,4.50905e-05,4.50905e-05,4.50905e-05
93,2491.84,0.81228,0.60612,0.89378,0.62195,0.30863,0.33434,0.25387,1.07769,2.02677,1.03575,4.0586e-05,4.0586e-05,4.0586e-05
94,2517.86,0.8016,0.59327,0.89143,0.61909,0.3097,0.33851,0.25768,1.0785,2.01359,1.03811,3.60815e-05,3.60815e-05,3.60815e-05
95,2544.03,0.80287,0.59369,0.8918,0.58562,0.32033,0.33879,0.25934,1.07266,2.02072,1.03495,3.1577e-05,3.1577e-05,3.1577e-05
96,2570.41,0.80129,0.60289,0.89578,0.60642,0.31481,0.34034,0.26006,1.07929,2.0102,1.04154,2.70725e-05,2.70725e-05,2.70725e-05
97,2596.72,0.79378,0.58705,0.88956,0.59349,0.32025,0.34054,0.26022,1.07602,2.01163,1.03845,2.2568e-05,2.2568e-05,2.2568e-05
98,2623.09,0.79422,0.58052,0.88684,0.5834,0.31803,0.33883,0.25846,1.07734,2.02802,1.03736,1.80635e-05,1.80635e-05,1.80635e-05
99,2649.41,0.78677,0.58321,0.88849,0.57182,0.32582,0.34053,0.25934,1.0774,2.02667,1.03679,1.3559e-05,1.3559e-05,1.3559e-05
100,2675.64,0.79416,0.57592,0.88854,0.58345,0.32107,0.34051,0.26019,1.07685,2.02059,1.03618,9.0545e-06,9.0545e-06,9.0545e-06
