epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,5416.54,1.61235,1.02553,2.33111,0.90931,0.92838,0.94844,0.75676,1.52933,0.8106,2.30763,0.0004085,0.0004085,0.0004085
70,5497.66,1.58022,0.99305,2.31869,0.93165,0.90742,0.94647,0.7528,1.52368,0.78353,2.30028,0.000396125,0.000396125,0.000396125
71,5578.24,1.57957,0.97757,2.30723,0.92253,0.90956,0.94669,0.75676,1.52421,0.80982,2.2971,0.00038375,0.00038375,0.00038375
72,5659.25,1.59703,0.99882,2.31917,0.92362,0.90616,0.94861,0.76065,1.51476,0.79275,2.28486,0.000371375,0.000371375,0.000371375
73,5739.98,1.59222,0.98732,2.31186,0.92155,0.90555,0.94673,0.7558,1.51888,0.8152,2.27639,0.000359,0.000359,0.000359
74,5820.28,1.57156,0.9744,2.30142,0.92133,0.9192,0.94789,0.75435,1.52256,0.79339,2.28286,0.000346625,0.000346625,0.000346625
75,5901.26,1.57539,0.96852,2.30029,0.91312,0.90976,0.9437,0.75358,1.53444,0.81227,2.29276,0.00033425,0.00033425,0.00033425
76,5982.19,1.55493,0.93045,2.29093,0.91751,0.91815,0.94794,0.76359,1.50394,0.78326,2.26913,0.000321875,0.000321875,0.000321875
77,6063.09,1.56494,0.94333,2.2916,0.9287,0.90714,0.94767,0.75583,1.51319,0.77961,2.27543,0.0003095,0.0003095,0.0003095
78,6144.21,1.55415,0.9446,2.29066,0.90135,0.92276,0.94682,0.75914,1.51344,0.7882,2.28375,0.000297125,0.000297125,0.000297125
79,6225.34,1.54289,0.93541,2.287,0.93125,0.91813,0.95155,0.75728,1.50476,0.77374,2.27547,0.00028475,0.00028475,0.00028475
80,6306.28,1.52022,0.91908,2.27987,0.93424,0.89235,0.94838,0.75958,1.51573,0.78708,2.28591,0.000272375,0.000272375,0.000272375
81,6387.69,1.52018,0.89464,2.26913,0.90908,0.92684,0.95153,0.76182,1.52021,0.79877,2.28496,0.00026,0.00026,0.00026
82,6468.78,1.51851,0.92655,2.27435,0.92389,0.92173,0.95079,0.76353,1.50422,0.79386,2.27548,0.000247625,0.000247625,0.000247625
83,6549.75,1.50005,0.87587,2.26713,0.9223,0.9133,0.94888,0.75849,1.50768,0.78133,2.27769,0.00023525,0.00023525,0.00023525
84,6630.81,1.52528,0.912,2.2737,0.90614,0.93234,0.9507,0.76365,1.50256,0.79398,2.26259,0.000222875,0.000222875,0.000222875
85,6711.75,1.5017,0.90407,2.27174,0.91268,0.93004,0.95389,0.76245,1.51497,0.79982,2.27204,0.0002105,0.0002105,0.0002105
86,6792.68,1.48656,0.85458,2.26639,0.93299,0.9151,0.95096,0.76014,1.51599,0.79825,2.28346,0.000198125,0.000198125,0.000198125
87,6874.28,1.47564,0.85507,2.24829,0.91952,0.91034,0.94761,0.76347,1.49891,0.78656,2.26361,0.00018575,0.00018575,0.00018575
88,6955.39,1.45647,0.84266,2.22897,0.93172,0.91275,0.95269,0.76614,1.50351,0.77815,2.26649,0.000173375,0.000173375,0.000173375
89,7036.96,1.46258,0.84333,2.24238,0.92509,0.91676,0.95188,0.76365,1.50928,0.79222,2.27587,0.000161,0.000161,0.000161
90,7118.65,1.47893,0.86759,2.25466,0.91488,0.92911,0.95369,0.76424,1.5092,0.77973,2.27878,0.000148625,0.000148625,0.000148625
91,7228.22,1.26731,0.59795,2.09505,0.92158,0.9299,0.95415,0.76413,1.50116,0.75228,2.27637,0.00013625,0.00013625,0.00013625
92,7308.99,1.25243,0.57195,2.09516,0.92975,0.91571,0.95426,0.76598,1.51019,0.75506,2.28993,0.000123875,0.000123875,0.000123875
93,7389.89,1.23933,0.55789,2.07204,0.93844,0.9033,0.95191,0.76753,1.50299,0.77605,2.28097,0.0001115,0.0001115,0.0001115
94,7470.85,1.22273,0.55804,2.07178,0.94335,0.91882,0.9519,0.76399,1.50376,0.78027,2.28081,9.9125e-05,9.9125e-05,9.9125e-05
95,7551.65,1.20307,0.54411,2.04776,0.91808,0.92595,0.95286,0.76997,1.49904,0.78762,2.28362,8.675e-05,8.675e-05,8.675e-05
96,7632.61,1.19914,0.5301,2.04647,0.91562,0.92598,0.95323,0.7672,1.50004,0.78926,2.27994,7.4375e-05,7.4375e-05,7.4375e-05
97,7713.51,1.19504,0.53109,2.05407,0.92116,0.93352,0.95578,0.77093,1.49402,0.77331,2.28014,6.2e-05,6.2e-05,6.2e-05
98,7794.55,1.19482,0.53524,2.04399,0.93119,0.91859,0.95571,0.77096,1.49456,0.77219,2.28426,4.9625e-05,4.9625e-05,4.9625e-05
99,7874.05,1.18183,0.51876,2.03795,0.92586,0.91924,0.9534,0.76973,1.49119,0.77959,2.27607,3.725e-05,3.725e-05,3.725e-05
100,7952.06,1.17275,0.52507,2.03323,0.91421,0.91689,0.9515,0.7686,1.48891,0.7798,2.26966,2.4875e-05,2.4875e-05,2.4875e-05
